Term [en],Description [en],Part of Speech [en],Status [en],Type [en],Gender [en],Note [en],Url [en],Term [be],Description [be],Part of Speech [be],Status [be],Type [be],Gender [be],Note [be],Url [be],Term [pl],Description [pl],Part of Speech [pl],Status [pl],Type [pl],Gender [pl],Note [pl],Url [pl],Term [ru],Description [ru],Part of Speech [ru],Status [ru],Type [ru],Gender [ru],Note [ru],Url [ru],Term [uk],Description [uk],Part of Speech [uk],Status [uk],Type [uk],Gender [uk],Note [uk],Url [uk],Concept Definition,Concept Subject,Concept Note,Concept Url,Concept Figure,Translatable
Lobster,,,,,,,,амар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Battery Pack,,,,,,,,акумулятор,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Lingcod,,,,,,,,трэпуг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
necklace,,,,,,,,каралі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
trough,,,,,,,,карыта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
note,,,,,,,,запіска,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Yam,,,,,,,,Батат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fairy Rose,,,,,,,,Чароўная ружа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Plum Pudding,,,,,,,,слівавы пудынг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Autumn's Bounty,,,,,,,,дары восені,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
bachelor,,,,,,,,кавалер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
crab cakes,,,,,,,,крабавыя катлеткі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
pomegranate,,,,,,,,гранат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pepper Poppers,,,,,,,,Перцавыя бомбачкі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pink Cake,,,,,,,,ружовы торт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Complete Breakfast,,,,,,,,поўны сняданак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Salmon Dinner,,,,,,,,вячэра з ласося,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ferngill,,,,,,,,Фэрнгіл,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fertilizer,,,,,,,,угнаенне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Auto-Grabber,,,,,,,,Аўтазбірач,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
secret woods,,,,,,,,таямнічы лес,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Egg Festival,,,,,,,,Яечны Фестываль,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dragon Tooth,,,,,,,,Зуб цмока,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Frost Jelly,,,,,,,,марозная жэленка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Duggy,,,,,,,,крот,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Spiker,,,,,,,,Шыпень,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Lurk,,,,,,,,прытойнік,"Істота, пачвара",,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Jelly,,,,,,,,жэле,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Archaeological Office,,,,,,,,археалагічнае бюро,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
farmhouse,,,,,,,,хутар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Stir Fry,,,,,,,,пражаніна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
garlic,,,,,,,,часнок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Coleslaw,,,,,,,,капусная салата,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Radish Salad,,,,,,,,салата з радыскі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Maki Roll,,,,,,,,сушы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Artichoke Dip,,,,,,,,Мачанка з артышоку,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Glazed Yams,,,,,,,,глазураваны батат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Baked Fish,,,,,,,,запечаная рыба,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Poppyseed Muffin,,,,,,,,макавы кекс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Shrimp Cocktai,,,,,,,,Крэветкавы кактэйль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Lobster Bisque,,,,,,,,суп-пюрэ з амараў,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fiddlehead Risotto,,,,,,,,Рызота з папараці,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Blackberry Cobbler,,,,,,,,Ажынавы коблер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Roasted Hazelnuts,,,,,,,,Смажаны фундук,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Membership,,,,,,,,сяброўства,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Community Development,,,,,,,,грамадскае развіццё,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
fossil,,,,,,,,скамянеласць,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Greenhouse,,,,,,,,цяпліца,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Grampleton,,,,,,,,Грэмплтан,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
salmonberry,,,,,,,,маліны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
rare seed,,,,,,,,рэдкае семя,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Refined Quartz,,,,,,,,ачышчаны кварц,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
resin,,,,,,,,жывіца,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
tar,,,,,,,,дзёгаць,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Walleye,,,,,,,,судак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Salmon,,,,,,,,ласось,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
lightning rod,,,,,,,,пярунаадвод,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Crab Pot,,,,,,,,крабавая пастка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Recycling Machine,,,,,,,,Смеццепераробны апарат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dance of the Moonlight Jellies,,,,,,,,Танец месяцовых медуз,,,,,,Stardew Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
flower queen,,,,,,,,кветкавая каралева,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
daffodil,,,,,,,,нарцыс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
sunroom,,,,,,,,аранжэрэя,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
melon,,,,,,,,дыня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
public gardens,,,,,,,,сквер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
basement,,,,,,,,сутарэнне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
salad,,,,,,,,салата,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Festival of Ice,,,,,,,,Фестываль Лёду,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Marcello,,,,,,,,Марсэлла,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
cake-walk,,,,,,,,тортавая імпрэза,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
powdermelon,,,,,,,,снегадыня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
SquidFest,,,,,,,,Кальмар-Фэст,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Valheim,,,,,,,,Вальхэйм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Black Forest,,,,,,,,Чарналессе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Heath,,,,,,,,пустка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Plains,,,,,,,,раўніны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Swamp,,,,,,,,балота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Meadows,,,,,,,,Лугі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
broke,,,,,,,,у благім стане,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
spawn point,,,,,,,,пункт адраджэння,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Vegvisir,,,,,,,,Вэгвісір,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cooking Station,,,,,,,,Пожаг,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Deer,,,,,,,,Алень,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Rug,,,,,,,,каберац,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Lox,,,,,,,,быкаяшчар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Stakewall,,,,,,,,паркан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Roof,,,,,,,,страха,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Floor,,,,,,,,падлога,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Thatch,,,,,,,,cаламяны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Elder,,,,,,,,Старадаўні,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Moder,,,,,,,,Мацер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Yagluth,,,,,,,,Яґлут,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Boar,,,,,,,,Дзік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Neck,,,,,,,,Нёк,істота,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Greydwarf,,,,,,,,Шэры карла,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Wraith,,,,,,,,Здань,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Blob,,,,,,,,Кропля,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Draugr,,,,,,,,Драўгр,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Golem,,,,,,,,Голэм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bow,,,,,,,,Лук,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Knife,,,,,,,,Нож,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Atgeir,,,,,,,,Атґейр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Flint,,,,,,,,Крэмень,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Draugr Elite,,,,,,,,Драўгар-выбранец,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Turnip,,,,,,,,рэпа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Hide,,,,,,,,шкура,Калі з поўсцю,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pelt,,,,,,,,шкура,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Helmet,,,,,,,,Шалом,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fenring,,,,,,,,Нашчадак Фэнрыра,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Greydwarf Shaman,,,,,,,,Шэры шаман,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Leech,,,,,,,,П’яўка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ghost,,,,,,,,Здань,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ladder,,,,,,,,Драбіна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ancient Bark,,,,,,,,Старадаўныя кара,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
cultivated,,,,,,,,узараны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
silver,,,,,,,,сярэбраны,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Drake,,,,,,,,цмок,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Greydwarf Brute,,,,,,,,шэры здаравіла,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Forest Troll,,,,,,,,лясны троль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Frost Troll,,,,,,,,Марозны троль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Skeleton,,,,,,,,Шкілет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Black Metal,,,,,,,,Чорны метал,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Odin,,,,,,,,Одзін,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ymir,,,,,,,,Імір,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fuling,,,,,,,,фулінг,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dvergr,,,,,,,,двэргаўскі,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
вынослівасць,,,,,,,,цягавітасць,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Perch,,,,,,,,джгір,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pike,,,,,,,,шчупак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Tuna,,,,,,,,тунец,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Herring,,,,,,,,селядзец,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Trousers,,,,,,,,порткі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Legging,,,,,,,,нагавіцы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Leggings,,,,,,,,Нагавіцы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Tunic,,,,,,,,туніка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
greaves,,,,,,,,нагалёначнікі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
giant,,,,,,,,волат,"Калі прыметнік (DST), Волат - калі назва істоты (Valheim)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Flametal,,,,,,,,полыметал,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Corewood,,,,,,,,Цвёрдая драўніна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cooked,,,,,,,,прыгатаваны,У выпадку мяса,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Eikthyr,,,,,,,,Эйкцюр,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Spear,,,,,,,,дзіда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Hugin,,,,,,,,Хугін,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Forsaken,,,,,,,,Забыты,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Valhalla,,,,,,,,Вальхала,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
smelter,,,,,,,,плавільня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bonemass,,,,,,,,касцісты глей,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Haldor,,,,,,,,Хальдор,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Buckler,,,,,,,,пуклер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Tower Shield,,,,,,,,абложны шчыт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
undead,,,,,,,,навец,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
masonry,,,,,,,,мулярства,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
woodworking,,,,,,,,цяслярства,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
smithing,,,,,,,,кавальства,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Lore,,,,,,,,паданне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Kraa,,,,,,,,Кар-р,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
world,,,,,,,,свет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
damage,,,,,,,,пашкоджанне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Resistance,,,,,,,,устойлівасць,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Stew,,,,,,,,рагу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Darkwood,,,,,,,,цёмнае дрэва,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Vanir,,,,,,,,Ван,Ваны — у скандынаўскай міфалогіі невялікая група багоў урадлівасці.,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Birch,,,,,,,,бяроза,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fang,,,,,,,,Ікол,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pole,,,,,,,,слуп,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Shingle,,,,,,,,гонтавы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ulf,,,,,,,,Ульф,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
onion,,,,,,,,цыбуля,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Pile,,,,,,,,груда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
cloud storage,,,,,,,,воблачнае сховішча,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Seeker,,,,,,,,цікун,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fenris,,,,,,,,Фэнрыр,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Growth,,,,,,,,пухліна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Yggdrasil,,,,,,,,Ігдрасіль,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Midgard,,,,,,,,Мідгард,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cuirass,,,,,,,,кіраса,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
backup,,,,,,,,рэзервовая копія,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Frostner,,,,,,,,Сцюжнік,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Hildir,,,,,,,,Хільдыр,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Obliterator,,,,,,,,смеццеспальваннік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
pin,,,,,,,,пазнака,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Abomination,,,,,,,,гідота,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cod,,,,,,,,траска,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
eitr,,,,,,,,эйтр,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
gjall,,,,,,,,г’яль,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Missile,,,,,,,,снарад,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Tankard,,,,,,,,кухаль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
tick,,,,,,,,клешч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Magecap,,,,,,,,падчароўнік,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Beam,,,,,,,,бэлька,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
stamina,,,,,,,,вынослівасць,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cultivator,,,,,,,,граблі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Cape,,,,,,,,накідка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
beads,,,,,,,,пацеркі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Great Stag,,,,,,,,Аляніска,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Staff,,,,,,,,посах,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Shrine,,,,,,,,прошча,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ashlands,,,,,,,,попельныя землі,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Sealbreaker,,,,,,,,Пячаткалом,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Frey,,,,,,,,Фрэя,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Brenna,,,,,,,,Брэнна,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Thungr,,,,,,,,Тунгр,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Geirrhafa,,,,,,,,Гейрхафа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Halstein,,,,,,,,Гальштэйн,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Hat,,,,,,,,капялюш,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Allfather,,,,,,,,Усебацька,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Hood,,,,,,,,каптур,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Nidhögg,,,,,,,,Нідхёг,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Vineberry,,,,,,,,лазаягады,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Breastplate,,,,,,,,нагруднік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Morgen,,,,,,,,морген,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Marksman,,,,,,,,цалок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Feast,,,,,,,,бяседа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Mace,,,,,,,,булава,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dead Raiser,,,,,,,,мерцвякліч,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Asksvin,,,,,,,,тленнавепр,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ashwood,,,,,,,,попельная драўніна,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Fader,,,,,,,,Айцец,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
crafting station,,,,,,,,рабочае месца,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
snap,,,,,,,,дапасаваць,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
ceramic tiles,,,,,,,,кафля,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Lord,,,,,,,,валадар,Калі агулам пра чалавека з уладай,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
wyrm,,,,,,,,змей,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Winter Child,,,,,,,,Дзіцё Зімы,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Emerald Flame,,,,,,,,Смарагдавае Полымя,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Dyrnwyn,,,,,,,,Дэрнўін,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Ripper,,,,,,,,рвач,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Volture,,,,,,,,Вулвятнік,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
Bonemaw,,,,,,,,косцепашча,,,,,,Valheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
foe,,,,,,,,вораг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
fortress,,,,,,,,цвярдыня,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
